                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6548,                 2.9476,                 1.1428,                 1.6839,                 3.8966,                 1.0351,                0.01588,                0.61942,                0.20779,                0.08984,                 1.6667,                 3.1704,                 1.1556,                 1.5102,                 4.1769,                 1.0587,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.5669,                 1.8265,                 1.0906,                 1.6483,                 3.0189,                 1.0203,                0.01299,                0.51286,                0.25185,                0.12772,                 1.7006,                 2.8944,                 1.1864,                   1.58,                  4.033,                 1.0535,              0.0010841,              0.0010841,              0.0010841
                      3,                 1.5191,                 1.6159,                 1.1151,                 1.5761,                 2.9094,                 1.0386,                0.46764,                0.17776,                0.23056,                0.10079,                 1.7533,                 2.6394,                 1.2998,                  1.758,                 4.0044,                 1.2264,               0.001618,               0.001618,               0.001618
                      4,                 1.4804,                  1.454,                 1.0779,                 1.6469,                 2.5483,                 1.0269,                0.66609,                0.52957,                0.63584,                0.29644,                 1.7658,                 2.3428,                 1.2854,                 1.7846,                 3.1294,                 1.1581,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.4798,                 1.3105,                 1.1039,                 1.6526,                 2.4061,                 1.0518,                 0.6262,                0.55884,                0.62357,                0.29192,                 1.7859,                 1.5425,                 1.3107,                 1.7063,                 2.5655,                 1.1646,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.4898,                 1.2784,                 1.1046,                 1.6457,                  2.274,                 1.0457,                 0.6371,                0.68493,                0.72832,                0.35307,                  1.735,                 1.3542,                  1.258,                 1.7546,                 2.3906,                 1.1579,               0.001601,               0.001601,               0.001601
                      7,                 1.4127,                 1.1776,                 1.0733,                 1.5179,                 2.0575,                 1.0184,                0.76947,                0.62926,                 0.7444,                0.39389,                 1.6543,                 1.1944,                 1.2067,                 1.6912,                 2.1422,                 1.1231,              0.0015845,              0.0015845,              0.0015845
                      8,                  1.382,                 1.1565,                 1.0836,                 1.5872,                 2.0273,                 1.0463,                0.71438,                0.68449,                0.77517,                0.40792,                 1.6195,                 1.1217,                 1.2146,                 1.6826,                 1.9254,                 1.1419,               0.001568,               0.001568,               0.001568
                      9,                 1.4188,                 1.1062,                 1.0819,                  1.585,                 1.8725,                  1.046,                0.70797,                0.77325,                0.79529,                0.40094,                 1.6619,                 1.1282,                 1.2337,                 1.7602,                 1.9206,                 1.1655,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3873,                 1.0683,                 1.0645,                 1.5507,                   1.79,                 1.0332,                0.73647,                0.75097,                0.80311,                0.41704,                 1.6299,                 1.0516,                 1.2225,                 1.6541,                 1.8302,                 1.1316,               0.001535,               0.001535,               0.001535
                     11,                 1.3608,                 1.0675,                 1.0736,                 1.5393,                 1.7169,                 1.0442,                0.79089,                0.73203,                0.82396,                0.41623,                 1.6483,                0.97749,                 1.2069,                 1.7322,                 1.6606,                 1.1571,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.3476,                 1.0491,                 1.0387,                 1.5355,                 1.6479,                 1.0208,                0.82015,                0.72671,                 0.8301,                0.41974,                 1.6595,                  1.006,                 1.2123,                  1.723,                 1.5627,                 1.1578,               0.001502,               0.001502,               0.001502
                     13,                 1.4189,                 1.0475,                  1.079,                 1.6335,                 1.6606,                 1.0566,                0.84318,                0.68086,                0.79467,                0.41563,                 1.6278,                 1.0504,                 1.2073,                 1.7119,                  1.587,                 1.1587,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.3645,                0.97855,                  1.048,                 1.5407,                 1.4623,                 1.0178,                0.79985,                0.77285,                0.84187,                 0.4307,                 1.5987,                0.97435,                 1.1891,                 1.7299,                 1.4043,                 1.1601,               0.001469,               0.001469,               0.001469
                     15,                 1.3319,                0.97052,                 1.0446,                 1.5344,                 1.4745,                 1.0236,                0.79292,                 0.7551,                0.83183,                0.42913,                 1.6105,                 0.9757,                 1.2061,                 1.7355,                 1.3747,                 1.1623,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.3842,                 0.9446,                 1.0637,                 1.6024,                 1.4026,                 1.0443,                0.80342,                0.78812,                0.86849,                0.42711,                 1.6765,                0.96731,                 1.2449,                 1.7567,                 1.3121,                 1.1829,               0.001436,               0.001436,               0.001436
